@relation cleaned_data

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
8.8,75,50,0,4.33,3,1,2,0,0,0,0,0,0,0,2,50,3,0,41,50,4773,4.002933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.1,59,100,1,4.33,3,2,0,1,0,0,0,0,0,0,2,50,3,0,41,50,38258,3.955434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.8,7,100,0,3.44,63,23,14,8,4,14,0,0,0,0,2,50,2,0,40,50,5595,3.772654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.9,8,5000,1,3.61,1926,740,405,345,164,272,0,0,0,0,6,50,3,0,41,50,73271,3.954443,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.87,9,1000,1,3.86,86,41,17,13,5,10,0,0,0,0,8,50,1,0,57,50,484,3.991736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.3,11,20000,1,2.97,2191,603,321,343,263,661,0,0,0,0,3,34,3,0,35,50,14482,4.001588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.6,56,1000,1,3.5,938,349,171,173,88,157,0,0,0,0,8,1,2,0,28,50,13309,3.8767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.6,6,100,0,3.47,19,6,5,4,0,4,0,0,0,0,2,10,2,0,45,50,10600,3.867547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15.4,12,100,0,2.7,20,6,1,3,1,9,0,0,0,0,8,14,3,0,27,50,1643,3.922702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.226,5,20000,0,4.14,2927,1646,564,389,145,183,0,0,0,0,2,14,2,0,29,50,8205,4.195856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15.4,93,1000,1,4.24,254,147,57,26,11,13,0,0,0,0,3,3,3,0,40,50,90105,4.201298,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.325,5,10,1,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,1,5,2,0,139,50,3,2.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.7,6,100,0,4,6,3,1,1,1,0,0,0,0,0,1,7,2,0,24,50,1559,4.039128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.8,7,1000,0,3.81,443,215,76,65,29,58,0,0,0,0,2,4,2,0,46,50,3460,3.870809,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.8,8,10000,1,3.61,2187,843,484,350,182,328,0,0,0,0,8,20,2,0,38,50,70773,4.03832,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.7,6,5000,0,3.23,1212,393,201,198,133,287,0,0,0,0,2,9,2,0,13,50,1686,3.687426,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.6,21,5000,0,3.18,573,174,96,97,69,137,0,0,0,0,2,13,2,0,34,50,9827,4.11387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.826,2,1000,1,4.21,33,21,6,2,0,4,1,0,1,0,8,50,1,0,34,50,15221,4.393207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.8,48,1000,0,4.34,794,500,152,86,26,30,1,0,1,0,1,50,2,0,9,50,3403,4.337349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.6,22,1000,0,3.74,518,240,89,77,37,75,0,0,0,0,2,50,2,0,38,50,4233,4.016773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.215,25,10000,0,3.65,418,180,74,65,36,63,0,0,0,0,8,50,1,0,43,50,23465,4.017601,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.4,4,5000,0,3.39,783,268,129,155,102,129,0,0,0,0,2,7,1,0,48,50,32168,3.884544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,17,6,0,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,1,10,2,0,43,50,65189,4.04964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12.1,10,50000,0,3.91,13488,6325,3006,1998,916,1243,0,0,0,0,2,50,3,0,31,50,17816,4.179445,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.29,5,1000,0,3.11,57,19,4,13,6,15,0,0,0,0,2,9,1,0,91,50,2072,3.882722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,7,1000,1,4.43,398,274,70,26,8,20,0,0,0,0,1,9,2,0,39,50,816,4.181373,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.8,18,1000,1,4.15,158,88,34,18,7,11,0,0,0,0,4,50,2,0,43,50,42514,3.740885,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.7,30,1000,1,3.28,179,64,25,30,18,42,0,0,0,0,1,50,2,0,109,50,13625,4.382092,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.6,9,10000,1,4.08,1367,722,293,185,77,90,0,0,0,0,2,50,2,0,41,50,5316,4.224605,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.6,14,100,1,4.05,82,43,18,11,2,8,0,0,0,0,2,50,5,0,36,50,514,4.217899,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.8,17,5000,1,3.94,787,394,156,104,60,73,0,0,0,0,3,50,2,0,43,50,2700,4.046296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.1,81,1000,0,3.92,426,204,94,62,21,45,0,0,0,0,2,50,3,0,41,50,39381,4.066326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.3,43,1000,0,4.31,65,44,7,8,2,4,1,0,1,0,2,50,3,0,40,50,6256,4.101183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.169,49,20000,0,3.93,8412,4299,1527,1177,527,882,0,0,0,0,1,2,1,0,8,50,56999,4.046825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
