@relation cleaned_data

@attribute Instance_number numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
0,7.7,6,100,0,3.65,20,8,5,2,2,3,0,0,0,0,1,50,2,0,18,50,24,3.625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,9.9,8,5000,1,3.8,501,217,96,102,42,44,0,0,0,0,3,50,3,0,43,50,11505,4.136723,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,8.8,13,1000,0,4.39,574,370,115,50,21,18,1,0,1,0,3,50,3,0,52,50,5042,4.146569,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,8.8,43,100,0,3.57,14,5,4,2,0,3,0,0,0,0,1,1,3,0,36,50,295,3.989831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,9.9,48,1000,1,4.01,135,69,25,23,10,8,0,0,0,0,3,50,3,0,25,50,6632,3.748794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2.2,2,50000,0,4.01,7575,4182,1317,857,429,790,0,0,0,0,8,50,1,0,51,50,229199,4.165079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,6.6,16,100,1,3.11,27,6,6,5,5,5,0,0,0,0,2,25,2,0,18,50,9177,3.874033,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,25.3,118,100,0,3.86,118,63,16,16,6,17,0,0,0,0,3,50,6,0,54,50,8117,4.064925,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,14.3,11,1000,1,3.53,302,125,47,47,29,54,0,0,0,0,3,50,3,0,43,50,4524,3.865385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,6.6,6,1000,1,3.82,134,62,26,23,6,17,0,0,0,0,2,1,2,0,35,50,670,3.844776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,9.9,8,1000,0,4.17,648,347,160,76,33,32,0,0,0,0,2,50,3,0,41,50,37956,4.030377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,8.8,7,1000,0,3.81,443,215,76,65,29,58,0,0,0,0,2,4,2,0,46,50,3460,3.870809,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,6.27,58,50000,0,3.45,8164,2936,1396,1547,970,1315,0,0,0,0,5,50,1,0,45,50,96276,4.096234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,3.3,3,20000,1,4.12,2826,1573,546,374,147,186,0,0,0,0,2,6,1,0,49,50,55670,4.121484,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,12.1,10,100,0,4.14,51,29,9,8,1,4,0,0,0,0,2,50,2,0,43,50,16994,4.263681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,12.1,20,20000,0,3.56,3929,1417,804,786,411,511,0,0,0,0,3,50,2,0,37,50,33839,3.962381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,5.5,25,100000,1,3.83,17980,8290,3483,2951,1410,1846,0,0,0,0,2,50,1,0,41,50,139223,3.933581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,17.6,14,10,1,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,8,2,4,0,40,50,1442,4.466019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,12.1,10,1000,1,4.34,101,55,29,14,2,1,1,0,1,0,2,50,2,0,40,50,32715,4.165001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,12.1,10,5000,0,3.96,1556,743,338,258,110,107,0,0,0,0,2,50,3,0,23,50,4610,4.252711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,7.7,6,50000,0,4.12,9207,5077,1860,1185,467,618,0,0,0,0,3,6,2,0,18,50,15538,4.156198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,8.8,56,10000,1,3.59,1285,469,286,252,94,184,0,0,0,0,3,50,3,0,36,50,1260,3.795238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,7.7,33,100,0,2.75,8,3,0,1,0,4,0,0,0,0,2,29,2,0,43,50,41623,3.917449,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,14.3,11,100,0,3.22,9,5,0,0,0,4,0,0,0,0,8,50,3,0,41,50,111,3.801802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,3.179,7,50,0,5,1,1,0,0,0,0,0,0,0,0,8,1,1,0,37,50,30,3.733333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,13.2,11,10000,0,4.14,3560,1950,776,428,184,222,0,0,0,0,2,50,3,0,30,50,19521,3.984837,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,8.8,9,1000,1,4.16,45,28,4,9,0,4,0,0,0,0,2,50,3,0,42,50,21012,3.885161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,12.1,70,10,0,2,2,0,0,0,2,0,0,0,0,0,2,1,2,0,62,50,528,3.873106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6.6,47,1000,0,4.28,134,84,19,22,2,7,0,0,0,0,2,50,2,0,43,50,25914,3.862314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,6.259,17,5000,0,4.31,922,568,183,105,24,42,0,0,0,0,3,50,2,0,43,50,9465,4.138405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,8.8,7,1000,0,4.22,124,75,25,8,8,8,0,0,0,0,2,50,3,0,43,50,3950,4.057468,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,13.2,11,20000,1,3.89,2294,1099,449,362,154,230,0,0,0,0,4,25,3,0,50,50,59903,4.153665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,15.4,27,5000,0,3.52,1442,573,250,227,139,253,0,0,0,0,3,50,4,0,43,50,7874,3.959995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,12.1,152,1000,0,3.91,808,381,180,110,68,69,0,0,0,0,1,50,2,0,43,50,87178,3.90836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,15.4,75,10000,0,4.15,2514,1375,544,332,122,141,0,0,0,0,2,50,4,0,43,50,27719,4.070637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,12.1,10,100,1,3.8,10,5,1,2,1,1,0,0,0,0,1,10,2,0,26,50,247,3.94332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,5.291,76,10000,0,4.16,3135,1695,721,416,140,163,0,0,0,0,2,45,1,0,39,50,24564,3.92888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,6.6,17,100,0,3.47,55,22,9,6,9,9,0,0,0,0,8,50,2,0,49,50,7851,4.216278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,7.7,9,100,0,3.23,43,14,6,9,4,10,0,0,0,0,8,1,2,0,40,50,7363,4.106343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,16.5,13,50,1,4.4,10,5,4,1,0,0,0,0,0,0,2,2,4,0,36,50,34,3.676471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,4.4,26,5000,1,4.3,825,530,136,82,34,43,1,0,1,0,8,50,1,0,48,50,12666,4.39831,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,5.5,5,50000,0,3.93,7088,3367,1510,1148,469,594,0,0,0,0,2,50,1,0,29,50,11481,4.095288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,14.3,11,1000,1,3.82,11,5,3,1,0,2,0,0,0,0,2,30,3,0,43,50,80093,4.006692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
